iter	Logloss
0	0.549063601
1	0.4690416023
2	0.4195325048
3	0.388165265
4	0.3677757622
5	0.3538979795
6	0.3439704014
7	0.3376368273
8	0.3336407072
9	0.3315568873
10	0.3287108657
11	0.3272384507
12	0.3257691761
13	0.3248819957
14	0.3245126335
15	0.3236729993
16	0.3232002474
17	0.3228154042
18	0.3224192811
19	0.322018634
20	0.3215976385
21	0.3213912733
22	0.3211209898
23	0.3209838053
24	0.320825575
25	0.3205851178
26	0.3203597121
27	0.3201404622
28	0.319986283
29	0.3198034912
30	0.3196566645
31	0.3195433741
32	0.319455039
33	0.3192587458
34	0.31919458
35	0.3190738304
36	0.3189076348
37	0.3188521154
38	0.3187257613
39	0.3186083088
40	0.3184454796
41	0.3183204904
42	0.318178645
43	0.3180130978
44	0.3178682246
45	0.3177147439
46	0.3175369084
47	0.3174717329
48	0.3173358978
49	0.317189413
50	0.3170762177
51	0.3169003069
52	0.3167463454
53	0.3166611005
54	0.316578884
55	0.3164876463
56	0.3164369492
57	0.3163317851
58	0.3162085985
59	0.3161256462
60	0.3160190759
61	0.3159306148
62	0.3158451927
63	0.3157317288
64	0.315611457
65	0.3154550454
66	0.3154058506
67	0.3153104922
68	0.3152308573
69	0.3151781189
70	0.3150636073
71	0.3149014699
72	0.3147667322
73	0.3146892435
74	0.314622827
75	0.314559133
76	0.3144685604
77	0.314393592
78	0.3142639632
79	0.3141619625
80	0.3140902556
81	0.3139914467
82	0.3138796881
83	0.3137809151
84	0.3137382951
85	0.3136584014
86	0.3135491587
87	0.3134739349
88	0.3133544088
89	0.3133310839
90	0.3132525652
91	0.3131699903
92	0.313116039
93	0.3130439003
94	0.3130030558
95	0.3129597594
96	0.3128342016
97	0.3127487126
98	0.3126686648
99	0.3125561963
