iter	Passed	Remaining
0	64	6388
1	74	3641
2	84	2737
3	94	2274
4	103	1970
5	114	1789
6	124	1660
7	135	1554
8	144	1463
9	154	1390
10	165	1341
11	175	1289
12	186	1245
13	196	1204
14	206	1167
15	217	1141
16	226	1106
17	236	1078
18	248	1059
19	260	1040
20	269	1013
21	280	993
22	292	978
23	303	960
24	314	942
25	325	926
26	334	904
27	345	887
28	357	874
29	368	859
30	379	843
31	390	829
32	400	812
33	411	798
34	422	783
35	431	767
36	442	753
37	452	739
38	462	723
39	473	709
40	483	695
41	493	681
42	503	667
43	514	654
44	524	641
45	535	628
46	546	616
47	556	603
48	568	591
49	579	579
50	589	566
51	600	554
52	610	541
53	621	529
54	631	516
55	641	504
56	652	492
57	662	480
58	674	468
59	684	456
60	693	443
61	704	431
62	714	419
63	724	407
64	735	396
65	745	383
66	754	371
67	765	360
68	775	348
69	785	336
70	795	324
71	805	313
72	816	301
73	826	290
74	838	279
75	848	268
76	860	256
77	871	245
78	882	234
79	892	223
80	903	211
81	912	200
82	923	189
83	934	177
84	944	166
85	956	155
86	968	144
87	978	133
88	989	122
89	1000	111
90	1010	99
91	1021	88
92	1032	77
93	1042	66
94	1053	55
95	1063	44
96	1072	33
97	1084	22
98	1095	11
99	1105	0
