iter	Passed	Remaining
0	13	2207
1	25	2136
2	31	1774
3	44	1826
4	56	1871
5	69	1886
6	81	1907
7	94	1906
8	106	1897
9	118	1900
10	128	1864
11	142	1869
12	153	1855
13	165	1841
14	177	1832
15	190	1829
16	203	1832
17	214	1813
18	227	1806
19	238	1792
20	250	1773
21	264	1776
22	275	1763
23	290	1766
24	302	1752
25	314	1741
26	326	1730
27	339	1722
28	351	1710
29	362	1693
30	377	1691
31	390	1684
32	399	1658
33	412	1648
34	423	1634
35	436	1624
36	450	1620
37	465	1618
38	487	1638
39	507	1650
40	524	1651
41	539	1644
42	556	1643
43	572	1639
44	588	1634
45	603	1625
46	617	1614
47	632	1608
48	647	1598
49	661	1587
50	674	1574
51	687	1560
52	701	1547
53	714	1533
54	726	1519
55	739	1506
56	752	1491
57	766	1480
58	778	1464
59	792	1453
60	805	1438
61	818	1426
62	830	1411
63	844	1397
64	855	1381
65	867	1367
66	881	1354
67	894	1341
68	907	1328
69	920	1314
70	933	1301
71	945	1286
72	957	1272
73	971	1260
74	984	1246
75	996	1232
76	1008	1218
77	1020	1203
78	1033	1190
79	1045	1176
80	1057	1161
81	1068	1146
82	1080	1132
83	1094	1120
84	1108	1108
85	1120	1094
86	1132	1080
87	1145	1067
88	1157	1053
89	1169	1039
90	1183	1027
91	1194	1012
92	1206	999
93	1219	985
94	1231	971
95	1242	958
96	1255	945
97	1269	932
98	1282	920
99	1296	907
100	1309	894
101	1322	881
102	1334	868
103	1362	864
104	1387	858
105	1408	850
106	1426	839
107	1442	827
108	1458	816
109	1474	804
110	1486	790
111	1499	776
112	1510	761
113	1521	747
114	1532	732
115	1545	719
116	1557	705
117	1571	692
118	1582	678
119	1595	664
120	1609	651
121	1621	638
122	1636	625
123	1648	611
124	1663	598
125	1676	585
126	1689	571
127	1701	558
128	1714	545
129	1726	531
130	1740	518
131	1753	504
132	1765	491
133	1778	477
134	1792	464
135	1804	451
136	1815	437
137	1829	424
138	1842	410
139	1854	397
140	1866	383
141	1880	370
142	1892	357
143	1905	344
144	1916	330
145	1930	317
146	1943	304
147	1955	290
148	1968	277
149	1982	264
150	1995	251
151	2010	238
152	2022	224
153	2036	211
154	2052	198
155	2065	185
156	2078	172
157	2090	158
158	2102	145
159	2116	132
160	2128	118
161	2140	105
162	2153	92
163	2167	79
164	2178	66
165	2191	52
166	2203	39
167	2216	26
168	2228	13
169	2240	0
