iter	MultiClass
0	1.616745235
1	1.398543272
2	1.237444689
3	1.12333948
4	1.02910945
5	0.9442584217
6	0.8738008105
7	0.8165855991
8	0.7679995718
9	0.7249766166
10	0.6869329625
11	0.6510163502
12	0.6200105465
13	0.5908794823
14	0.5656869729
15	0.5396616883
16	0.5193798387
17	0.5000010714
18	0.4843765175
19	0.4696465901
20	0.4552160491
21	0.4443485042
22	0.4332958301
23	0.4232046337
24	0.4147632824
25	0.4057506695
26	0.3980414252
27	0.3909306885
28	0.3834468544
29	0.3775087546
30	0.3714453109
31	0.3650641133
32	0.3605474359
33	0.3552434958
34	0.3503822248
35	0.3463355172
36	0.3428527401
37	0.3390472601
38	0.3348253558
39	0.3306776605
40	0.3265303447
41	0.322995576
42	0.3208277708
43	0.3175910581
44	0.3152926385
45	0.3124320806
46	0.3101053187
47	0.3074773031
48	0.3046078149
49	0.3022850239
50	0.3001258962
51	0.2978140327
52	0.2960374774
53	0.2940362506
54	0.2921791281
55	0.2898375784
56	0.287662935
57	0.2857753087
58	0.2840926849
59	0.2817549388
60	0.2802321257
61	0.2782470925
62	0.2765344559
63	0.2752920512
64	0.2738338561
65	0.2725229479
66	0.2709178016
67	0.2692405353
68	0.2678948042
69	0.2666071485
70	0.2650723618
71	0.263312319
72	0.2619506927
73	0.2605438406
74	0.2590510818
75	0.2576589683
76	0.2564255873
77	0.2551965459
78	0.2537890305
79	0.2524419423
80	0.2511198946
81	0.249955203
82	0.2487147846
83	0.2474971365
84	0.246201235
85	0.2452996307
86	0.2440793269
87	0.2431645884
88	0.2418409837
89	0.2407812817
90	0.2399116031
91	0.2388287492
92	0.2377624763
93	0.236675873
94	0.2353515535
95	0.2345300487
96	0.2337330069
97	0.2327935203
98	0.2316893784
99	0.2308023534
100	0.2297545114
101	0.2287463039
102	0.2277310549
103	0.2268456279
104	0.2259634448
105	0.2251654041
106	0.2242843088
107	0.2232981364
108	0.2222483249
109	0.2212563623
110	0.2203722776
111	0.2195135996
112	0.2187113017
113	0.2178421989
114	0.2169555933
115	0.215932477
116	0.2152545054
117	0.2144831309
118	0.2135949904
119	0.2129258571
120	0.2120689888
121	0.2111998865
122	0.2102774749
123	0.2095991196
124	0.2089792764
125	0.2079226421
126	0.2068491778
127	0.2061282242
128	0.2052898921
129	0.2047380147
130	0.2041189899
131	0.2032510658
132	0.2026043578
133	0.2018818684
134	0.2011659359
135	0.2003668605
136	0.1995749299
137	0.199125746
138	0.198302447
139	0.1972014879
