iter	Passed	Remaining
0	197	197416
1	447	223135
2	649	215866
3	834	207898
4	1022	203418
5	1200	198963
6	1382	196057
7	1556	192978
8	1735	191143
9	1960	194068
10	2135	191988
11	2297	189188
12	2465	187173
13	2644	186218
14	2814	184845
15	2980	183308
16	3159	182678
17	3339	182177
18	3513	181391
19	3681	180397
20	3848	179419
21	4021	178780
22	4201	178480
23	4404	179114
24	4590	179018
25	4788	179389
26	4968	179051
27	5138	178369
28	5312	177875
29	5482	177271
30	5655	176766
31	5818	175996
32	5982	175315
33	6146	174631
34	6309	173960
35	6471	173289
36	6640	172844
37	6809	172390
38	6971	171794
39	7133	171192
40	7296	170665
41	7461	170183
42	7628	169779
43	7792	169309
44	7958	168895
45	8122	168462
46	8299	168289
47	8462	167835
48	8639	167667
49	8803	167259
50	8969	166898
51	9136	166565
52	9299	166163
53	9464	165799
54	9629	165454
55	9794	165105
56	9952	164660
57	10112	164243
58	10278	163931
59	10446	163664
60	10616	163417
61	10779	163078
62	10941	162734
63	11103	162393
64	11266	162057
65	11424	161668
66	11587	161358
67	11765	161255
68	11940	161111
69	12106	160841
70	12270	160552
71	12437	160305
72	12600	160013
73	12762	159701
74	12920	159358
75	13082	159056
76	13245	158776
77	13407	158483
78	13571	158220
79	13737	157982
80	13900	157711
81	14075	157572
82	14237	157294
83	14397	157000
84	14562	156763
85	14729	156542
86	14890	156259
87	15061	156090
88	15221	155809
89	15386	155577
90	15550	155333
91	15713	155085
92	15881	154886
93	16060	154799
94	16226	154581
95	16399	154427
96	16595	154489
97	16796	154599
98	16988	154611
99	17206	154854
100	17467	155475
101	17670	155568
102	17880	155713
103	18067	155657
104	18251	155568
105	18416	155324
106	18583	155091
107	18748	154849
108	18917	154634
109	19082	154397
110	19245	154140
111	19410	153896
112	19574	153649
113	19741	153427
114	19902	153161
115	20074	152979
116	20242	152772
117	20411	152567
118	20583	152385
119	20750	152170
120	20915	151937
121	21076	151679
122	21241	151450
123	21401	151189
124	21565	150958
125	21728	150718
126	21892	150490
127	22055	150250
128	22221	150036
129	22385	149811
130	22548	149580
131	22709	149335
132	22874	149114
133	23036	148877
134	23200	148653
135	23363	148429
136	23526	148197
137	23687	147962
138	23851	147740
139	24013	147511
140	24178	147297
141	24342	147080
142	24512	146901
143	24673	146667
144	24834	146437
145	24998	146221
146	25157	145983
147	25323	145778
148	25491	145595
149	25662	145421
150	25823	145193
151	25986	144975
152	26150	144765
153	26311	144543
154	26474	144331
155	26644	144152
156	26807	143943
157	26970	143726
158	27132	143509
159	27292	143286
160	27454	143070
161	27618	142867
162	27778	142639
163	27939	142425
164	28101	142211
165	28265	142009
166	28427	141795
167	28593	141608
168	28758	141408
169	28921	141204
170	29085	141005
171	29250	140811
172	29411	140597
173	29576	140404
174	29738	140193
175	29900	139990
176	30067	139805
177	30227	139588
178	30391	139395
179	30554	139191
180	30715	138984
181	30876	138774
182	31038	138569
183	31198	138359
184	31364	138175
185	31528	137978
186	31690	137779
187	31855	137589
188	32020	137401
189	32183	137202
190	32346	137005
191	32510	136813
192	32670	136607
193	32835	136420
194	32998	136225
195	33160	136026
196	33322	135825
197	33486	135638
198	33655	135469
199	33817	135269
200	33981	135082
201	34148	134903
202	34312	134716
203	34481	134545
204	34644	134353
205	34810	134174
206	34973	133980
207	35136	133788
208	35302	133608
209	35466	133421
210	35626	133217
211	35788	133024
212	35955	132848
213	36122	132673
214	36284	132478
215	36445	132283
216	36611	132105
217	36773	131912
218	36938	131730
219	37101	131540
220	37266	131360
221	37428	131168
222	37600	131012
223	37766	130832
224	37926	130634
225	38094	130463
226	38257	130276
227	38414	130071
228	38576	129880
229	38739	129694
230	38907	129521
231	39069	129334
232	39233	129152
233	39397	128966
234	39561	128783
235	39722	128593
236	39884	128404
237	40049	128226
238	40215	128048
239	40377	127862
240	40539	127674
241	40704	127495
242	40868	127314
243	41028	127120
244	41188	126928
245	41354	126754
246	41517	126569
247	41681	126387
248	41846	126211
249	42006	126018
250	42168	125834
251	42339	125674
252	42504	125498
253	42673	125333
254	42837	125152
255	43000	124969
256	43158	124773
257	43325	124602
258	43488	124422
259	43653	124245
